[2026-07-01T04:05:20+09:00] ===== キャンペーン開始 backend=vulkan model=unsloth/Qwen3-8B-GGUF:Q6_K ctx=131072 MAX=120 MIN=20 HANG_SAFETY=5 CAP=86400s TRIAL=720s =====
[2026-07-01T04:05:23+09:00] boot_seq=0 (phase-start-vulkan-c48c4-slot8) gpu_count=4
[2026-07-01T04:05:23+09:00] 初回 llama-server 起動
[2026-07-01T04:05:23+09:00] llama 再起動 (c48c4 SLOT8 stand-alone Vulkan ctx=131072)
[2026-07-01T04:05:38+09:00] /health 確認待機 (最大 300s)
[2026-07-01T04:05:38+09:00]     /health OK (elapsed 5s)
[2026-07-02T00:27:36+09:00] --- trial 94 開始 (elapsed=73318s hangs=0) ---
[2026-07-02T00:40:59+09:00] --- trial 95 開始 (elapsed=74121s hangs=0) ---
[2026-07-02T00:53:50+09:00] --- trial 96 開始 (elapsed=74892s hangs=0) ---
[2026-07-02T01:07:27+09:00] --- trial 97 開始 (elapsed=75709s hangs=0) ---
[2026-07-02T01:19:51+09:00] --- trial 98 開始 (elapsed=76453s hangs=0) ---
[2026-07-02T01:33:12+09:00] --- trial 99 開始 (elapsed=77254s hangs=0) ---
[2026-07-02T01:46:14+09:00] --- trial 100 開始 (elapsed=78036s hangs=0) ---
[2026-07-02T02:00:19+09:00] --- trial 101 開始 (elapsed=78881s hangs=0) ---
[2026-07-02T02:13:39+09:00] --- trial 102 開始 (elapsed=79681s hangs=0) ---
[2026-07-02T02:26:29+09:00] --- trial 103 開始 (elapsed=80451s hangs=0) ---
[2026-07-02T02:38:39+09:00] --- trial 104 開始 (elapsed=81181s hangs=0) ---
[2026-07-02T02:52:18+09:00] --- trial 105 開始 (elapsed=82000s hangs=0) ---
[2026-07-02T03:05:12+09:00] --- trial 106 開始 (elapsed=82774s hangs=0) ---
[2026-07-02T03:18:44+09:00] --- trial 107 開始 (elapsed=83586s hangs=0) ---
[2026-07-02T03:31:02+09:00] --- trial 108 開始 (elapsed=84324s hangs=0) ---
[2026-07-02T03:44:02+09:00] --- trial 109 開始 (elapsed=85104s hangs=0) ---
[2026-07-02T03:56:59+09:00] --- trial 110 開始 (elapsed=85881s hangs=0) ---
[2026-07-02T04:09:28+09:00] PHASE_CAP 到達で終了 (86630s)
[2026-07-02T04:09:28+09:00] ===== キャンペーン完了 backend=vulkan trials=110 hangs=0 =====
