[2026-07-02T10:22:19+09:00] ===== キャンペーン開始 backend=vulkan model=unsloth/Qwen3-8B-GGUF:Q6_K ctx=131072 MAX=120 MIN=20 HANG_SAFETY=5 CAP=86400s TRIAL=720s =====
[2026-07-02T10:22:22+09:00] boot_seq=0 (phase-start-vulkan-c48c4-slot8) gpu_count=4
telemetry started. pids: 845136 845137 845138 
logs: /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/telemetry_rocmsmi.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/telemetry_gpucount.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/kern_dmesg.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/llama_server.log
telemetry_pcie started. pid: 845145
log: /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/telemetry_pcie.log
[2026-07-02T10:22:22+09:00] 初回 llama-server 起動
[2026-07-02T10:22:22+09:00] llama 再起動 (c48c4 SLOT8 stand-alone Vulkan ctx=131072)
MODEL_PATH=/home/llm/models/Qwen3-8B-Q6_K.gguf
CTX_SIZE=131072
==> llama-server 起動 (c48c4 SLOT8 stand-alone Vulkan ctx=131072)
==> /health 確認待機 (最大 300s)
    /health OK (elapsed 15s)
[2026-07-02T10:22:37+09:00] /health 確認待機 (最大 300s)
[2026-07-02T10:22:37+09:00]     /health OK (elapsed 5s)
[2026-07-03T03:24:32+09:00] --- trial 79 開始 (elapsed=61315s hangs=0) ---
[2026-07-03T03:37:46+09:00] --- trial 80 開始 (elapsed=62109s hangs=0) ---
[2026-07-03T03:50:01+09:00] --- trial 81 開始 (elapsed=62844s hangs=0) ---
[2026-07-03T04:02:07+09:00] --- trial 82 開始 (elapsed=63570s hangs=0) ---
[2026-07-03T04:14:47+09:00] --- trial 83 開始 (elapsed=64330s hangs=0) ---
[2026-07-03T04:27:20+09:00] --- trial 84 開始 (elapsed=65083s hangs=0) ---
[2026-07-03T04:39:48+09:00] --- trial 85 開始 (elapsed=65831s hangs=0) ---
[2026-07-03T04:51:49+09:00] --- trial 86 開始 (elapsed=66552s hangs=0) ---
[2026-07-03T05:04:29+09:00] --- trial 87 開始 (elapsed=67312s hangs=0) ---
[2026-07-03T05:16:46+09:00] --- trial 88 開始 (elapsed=68049s hangs=0) ---
[2026-07-03T05:30:04+09:00] --- trial 89 開始 (elapsed=68847s hangs=0) ---
[2026-07-03T05:42:40+09:00] --- trial 90 開始 (elapsed=69603s hangs=0) ---
[2026-07-03T05:54:51+09:00] --- trial 91 開始 (elapsed=70334s hangs=0) ---
[2026-07-03T06:08:03+09:00] --- trial 92 開始 (elapsed=71126s hangs=0) ---
[2026-07-03T06:21:16+09:00] --- trial 93 開始 (elapsed=71919s hangs=0) ---
[2026-07-03T06:34:44+09:00] --- trial 94 開始 (elapsed=72727s hangs=0) ---
[2026-07-03T06:48:14+09:00] --- trial 95 開始 (elapsed=73537s hangs=0) ---
[2026-07-03T07:02:15+09:00] --- trial 96 開始 (elapsed=74377s hangs=0) ---
[2026-07-03T07:15:18+09:00] --- trial 97 開始 (elapsed=75160s hangs=0) ---
[2026-07-03T07:27:42+09:00] --- trial 98 開始 (elapsed=75905s hangs=0) ---
[2026-07-03T07:41:14+09:00] --- trial 99 開始 (elapsed=76717s hangs=0) ---
[2026-07-03T07:54:27+09:00] --- trial 100 開始 (elapsed=77510s hangs=0) ---
[2026-07-03T08:07:30+09:00] --- trial 101 開始 (elapsed=78292s hangs=0) ---
[2026-07-03T08:20:50+09:00] --- trial 102 開始 (elapsed=79093s hangs=0) ---
[2026-07-03T08:34:30+09:00] --- trial 103 開始 (elapsed=79913s hangs=0) ---
[2026-07-03T08:46:39+09:00] --- trial 104 開始 (elapsed=80642s hangs=0) ---
[2026-07-03T08:59:04+09:00] --- trial 105 開始 (elapsed=81387s hangs=0) ---
[2026-07-03T09:13:03+09:00] --- trial 106 開始 (elapsed=82226s hangs=0) ---
[2026-07-03T09:26:51+09:00] --- trial 107 開始 (elapsed=83054s hangs=0) ---
[2026-07-03T09:40:26+09:00] --- trial 108 開始 (elapsed=83868s hangs=0) ---
[2026-07-03T09:53:08+09:00] --- trial 109 開始 (elapsed=84631s hangs=0) ---
[2026-07-03T10:05:57+09:00] --- trial 110 開始 (elapsed=85400s hangs=0) ---
[2026-07-03T10:18:32+09:00] --- trial 111 開始 (elapsed=86155s hangs=0) ---
[2026-07-03T10:31:02+09:00] PHASE_CAP 到達で終了 (86905s)
[2026-07-03T10:31:02+09:00] ===== キャンペーン完了 backend=vulkan trials=111 hangs=0 =====
